Ref 1,Ref 2,Genre,Genre Sublevel,Description 1,Description 2,Person Name 1,Person Name 2,Corporation Name,Location,Date,Container 1 Type,Container 1 Label,Container 1 Locator,Container 2 Type,Container 2 Locator,Tiff Locators
ref3892,cid4638172,Photographic images,Cartes-de-visite,"Deyoung, Brena. Philadelphia, PA, Carte-de-visite of Mrs. Samuel R. Hunter, by Wenderroth and Taylor","Carte-de-visite of Mrs. Samuel R. Hunter, by Wenderroth and Taylor","Deyoung, Brena",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,4,lbr_fq_s4_8r.tif; lbr_fq_s4_8v.tif
ref3893,cid4638171,Photographic images,Cartes-de-visite,"Deyoung, Esther. Philadelphia, PA, Carte-de-visite of Esther Deyoung by Broadbent",Carte-de-visite of Esther Deyoung by Broadbent,"Deyoung, Esther",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,6,lbr_fq_s6_1r.tif; lbr_fq_s6_1v.tif
ref3894,cid4638170,Photographic images,Cartes-de-visite,"Deyoung, Mary Ann. Philadelphia, PA, Carte-de-visite of Mrs. Oppenheimer, grand daughter of Isaac Deyoung, by Broadbent","Carte-de-visite of Mrs. Oppenheimer, grand daughter of Isaac Deyoung, by Broadbent","Deyoung, Mary Ann",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,6,lbr_fq_s6_2r.tif; lbr_fq_s6_2v.tif
ref3895,cid4638169,Photographic images,Cartes-de-visite,"Deyoung, Sophia. Philadelphia, PA, Carte-de-visite of Mrs. Hecht by Broadbent",Carte-de-visite of Mrs. Hecht by Broadbent,"Deyoung, Sophia",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,5,lbr_fq_s5_2r.tif; lbr_fq_s5_2v.tif
ref3896,cid4638168,Photographic images,Cartes-de-visite,"Durkheim. Philadelphia, PA",,Durkheim,,,"Philadelphia, PA",1878,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 152,doc_ja_phil_152_1r.tif; doc_ja_phil_152_1v.tif
ref3897,cid4638167,Photographic images,Cartes-de-visite,"Ellis, Mrs. Philadelphia, PA, Carte-de-visite with ad on back for F. Gutekunst",Carte-de-visite with ad on back for F. Gutekunst,"Ellis, Mrs.",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,2,lbr_fq_s2_2r.tif; lbr_fq_s2_2v.tif
ref3898,cid4638166,Photographic images,Cartes-de-visite,"Etting, Samuel. Baltimore, MD, Carte-de-visite of Samuel Etting, full seated image, by the Bendann Brothers","Carte-de-visite of Samuel Etting, full seated image, by the Bendann Brothers","Etting, Samuel",,,"Baltimore, MD",1859,Drawer,Mixed materials,Judaica Americana,Folder,MD 215,doc_ja_md_215_1r.tif; doc_ja_md_215_1r_a.tif; doc_ja_md_215_1v.tif
ref3899,cid4638165,Photographic images,Cartes-de-visite,"Frank, Henry M. Philadelphia, PA, Carte-de-visite of Henry M. Frank with full ad on back for F. Gutekunst",Carte-de-visite of Henry M. Frank with full ad on back for F. Gutekunst,"Frank, Henry M.",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,3,lbr_fq_s3_3r.tif; lbr_fq_s3_3v.tif
ref3900,cid4638164,Photographic images,Cartes-de-visite,"Goldman, Mrs. Philadelphia, PA, Carte-de-visite of Mrs. Goldman with full ad on back for F. Gutekunst",Carte-de-visite of Mrs. Goldman with full ad on back for F. Gutekunst,"Goldman, Mrs.",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,3,lbr_fq_s3_1r.tif; lbr_fq_s3_1v.tif
ref3901,cid4638163,Photographic images,Cartes-de-visite,"Greenewald, Joseph. Unknown, Carte-de-visite of Joseph Greenewald",Carte-de-visite of Joseph Greenewald,"Greenewald, Joseph",,,Unknown,1875,Folder,Mixed materials,Binder Q,Page,1,lbr_fq_s1_2r.tif; lbr_fq_s1_2v.tif
ref3902,cid4638162,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of Anacamegishca, a Chippeway chief","Illustration of Anacamegishca, a Chippeway chief","Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 79,doc_ja_phil_79_1r.tif; doc_ja_phil_79_1v.tif
ref3903,cid4638161,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of David Vann, a Cherokee chief","Illustration of David Vann, a Cherokee chief","Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 78,doc_ja_phil_78_1r.tif; doc_ja_phil_78_1v.tif
ref3904,cid4638160,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of Katawabeda, a Chippeway chief","Illustration of Katawabeda, a Chippeway chief","Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 82,doc_ja_phil_82_1r.tif; doc_ja_phil_82_1v.tif
ref3905,cid4638159,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of Meta-Koosega, a Chippeway warrior","Illustration of Meta-Koosega, a Chippeway warrior","Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 77,doc_ja_phil_77_1r.tif; doc_ja_phil_77_1v.tif
ref3906,cid4638158,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of Pocahontas",Illustration of Pocahontas,"Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 76,doc_ja_phil_76_1r.tif; doc_ja_phil_76_1v.tif
ref3907,cid4638157,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of Wasbishkeepnas",Illustration of Wasbishkeepnas,"Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 80,doc_ja_phil_80_1r.tif; doc_ja_phil_80_1v.tif
ref3908,cid4638156,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of Young Mahaskah, an Ioway chief","Illustration of Young Mahaskah, an Ioway chief","Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 81,doc_ja_phil_81_1r.tif; doc_ja_phil_81_1v.tif
ref3909,cid4638155,Photographic images,Cartes-de-visite,"Hart, A. N. Philadelphia, PA, Illustration of Young Mahaskah, an Ioway chief","Illustration of Young Mahaskah, an Ioway chief","Hart, A. N.",,,"Philadelphia, PA",1850,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 83,doc_ja_phil_83_1r.tif; doc_ja_phil_83_1v.tif
ref3910,cid4638154,Photographic images,Cartes-de-visite,"Hart, Abraham. Philadelphia, PA, Carte-de-visite of Philadelphia publisher and Hebrew leader Abraham Hart (1810-1885), inscribed and signed to his friend and fellow publisher J. B. Lippincott. The photographer's backmark is F. Gutekunst, Philadelphia","Carte-de-visite of Philadelphia publisher and Hebrew leader Abraham Hart (1810-1885), inscribed and signed to his friend and fellow publisher J. B. Lippincott. The photographer's backmark is F. Gutekunst, Philadelphia","Hart, Abraham",,,"Philadelphia, PA",1860,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 73,doc_ja_phil_73_1r.tif; doc_ja_phil_73_1v.tif
ref3911,cid4638153,Photographic images,Cartes-de-visite,"Henriques, Madeline. New York, NY, Carte-de-visite of Madeline Henriques in full sitting view by Brady's",Carte-de-visite of Madeline Henriques in full sitting view by Brady's,"Henriques, Madeline",,,"New York, NY",1864,Drawer,Mixed materials,Judaica Americana,Folder,NYC 885,doc_ja_nyc_885_1r.tif; doc_ja_nyc_885_1v.tif
ref3912,cid4638152,Photographic images,Cartes-de-visite,"Henriques, Madeline. New York, NY, Carte-de-visite of Madeline Henriques in full sitting view by Gurney",Carte-de-visite of Madeline Henriques in full sitting view by Gurney,"Henriques, Madeline",,,"New York, NY",1875,Drawer,Mixed materials,Judaica Americana,Folder,NYC 834,doc_ja_nyc_834_1r.tif; doc_ja_nyc_834_1v.tif
ref3913,cid4638151,Photographic images,Cartes-de-visite,"Israel & Co. Baltimore, MD, Carte-de-visite of 1st Lt. Henry Tyler, 187th NY Vol., with full ad on back for Israel and Co","Carte-de-visite of 1st Lt. Henry Tyler, 187th NY Vol., with full ad on back for Israel and Co",,,Israel & Co.,"Baltimore, MD",1860,Drawer,Mixed materials,Judaica Americana,Folder,MD 223,doc_ja_md_223_1r.tif; doc_ja_md_223_1v.tif
ref3914,cid4638150,Photographic images,Cartes-de-visite,"Israel & Co. Baltimore, MD, Carte-de-visite of a woman standing, with full ad on back for Israel and Co","Carte-de-visite of a woman standing, with full ad on back for Israel and Co",,,Israel & Co.,"Baltimore, MD",1875,Folder,Mixed materials,Binder Q,Page,1,lbr_fq_s1_4r.tif; lbr_fq_s1_4v.tif
ref3915,cid4638149,Photographic images,Cartes-de-visite,"Jacobs, Edward and Moses, Gustave. New Orleans, LA, Carte-de-visite of a gentleman with a full ad on the back for Moses and Piffet, sucessors to E. Jacobs","Carte-de-visite of a gentleman with a full ad on the back for Moses and Piffet, sucessors to E. Jacobs","Jacobs, Edward","Moses, Gustave",,"New Orleans, LA",1865,Drawer,Mixed materials,Judaica Americana,Folder,LA 137,doc_ja_la_137_1r.tif; doc_ja_la_137_1v.tif
ref3916,cid4638148,Photographic images,Cartes-de-visite,"Klauber, Edward. Louisville, KY, Carte de visite of unknown woman, with an ad on the back for Edward Klauber","Carte de visite of unknown woman, with an ad on the back for Edward Klauber","Klauber, Edward",,,"Louisville, KY",1880,Folder,Mixed materials,Binder Q,Page,1,lbr_fq_s1_3r.tif; lbr_fq_s1_3v.tif
ref3917,cid4638147,Photographic images,Cartes-de-visite,"Kohn, Bess. Philadelphia, PA, Carte de visite of Bess Kohn with full ad on back for F. Gutekunst",Carte de visite of Bess Kohn with full ad on back for F. Gutekunst,"Kohn, Bess",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,2,lbr_fq_s2_4r.tif; lbr_fq_s2_4v.tif
ref3918,cid4638146,Photographic images,Cartes-de-visite,"Levey, Florence. Boston, MA, Cabinet size carte-de-visite of Florence Levey, published by London Gaiety Co","Cabinet size carte-de-visite of Florence Levey, published by London Gaiety Co","Levey, Florence",,,"Boston, MA",1875,Drawer,Mixed materials,Judaica Americana,Folder,NYC 733,doc_ja_nyc_733_1r.tif; doc_ja_nyc_733_1v.tif
ref3919,cid4638145,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite bust of Confederate General ""Baldy"" Dick Ewell, by Levy and Cohen, landscape photographers","A carte-de-visite bust of Confederate General ""Baldy"" Dick Ewell, by Levy and Cohen, landscape photographers",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,25,doc_cw_25_1r.tif; doc_cw_25_1v.tif
ref3920,cid4638144,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the burnt district of Richmond, Virginia from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the burnt district of Richmond, Virginia from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,23,doc_cw_23_1r.tif; doc_cw_23_1v.tif
ref3921,cid4638143,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the Confederate Treasury Building from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the Confederate Treasury Building from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,24,doc_cw_24_1r.tif; doc_cw_24_1v.tif
ref3922,cid4638142,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the Confederate Treasury Building from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the Confederate Treasury Building from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,21,doc_cw_21_1r.tif; doc_cw_21_1v.tif
ref3923,cid4638141,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the executive mansion in Richmond, Virginia by Levy and Cohen","A carte-de-visite of the executive mansion in Richmond, Virginia by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,26,doc_cw_26_1r.tif; doc_cw_26_1v.tif
ref3924,cid4638140,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the ruins of Galego Flour Mills from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the ruins of Galego Flour Mills from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,22,doc_cw_22_1r.tif; doc_cw_22_1v.tif
ref3925,cid4638139,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,20,doc_cw_20_1r.tif; doc_cw_20_1v.tif
ref3926,cid4638138,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,27,doc_cw_27_1r.tif; doc_cw_27_1v.tif
ref3927,cid4638137,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,28,doc_cw_28_1r.tif; doc_cw_28_1v.tif
ref3928,cid4638136,Photographic images,Cartes-de-visite,"Levy and Cohen. Philadelphia, PA, A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen","A carte-de-visite of the ruins of Richmond from a series entitled ""Views of the Rebel Capital and its Environs"", by Levy and Cohen",,,Levy and Cohen,"Philadelphia, PA",1865,Drawer,Mixed materials,Civil War,Folder,29,doc_cw_29_1r.tif; doc_cw_29_1v.tif
ref3929,cid4638135,Photographic images,Cartes-de-visite,"Levy, C. Richmond, VA, Carte-de-visite of Libby Prison, Richmond, Virginia,entered according to the act of Congress in the year 1863, by C. Levy, Eastern district of Pennsylvania","Carte-de-visite of Libby Prison, Richmond, Virginia,entered according to the act of Congress in the year 1863, by C. Levy, Eastern district of Pennsylvania","Levy, C.",,,"Richmond, VA",1863,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 138,doc_ja_phil_138_1r.tif; doc_ja_phil_138_1v.tif
ref3930,cid4638134,Photographic images,Cartes-de-visite,"Levy, C. Richmond, VA, Carte-de-visite of Libby Prison, Richmond, Virginia,entered according to the act of Congress in the year 1863, by C. Levy, Eastern district of Pennsylvania","Carte-de-visite of Libby Prison, Richmond, Virginia,entered according to the act of Congress in the year 1863, by C. Levy, Eastern district of Pennsylvania","Levy, C.",,,"Richmond, VA",1863,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 139,doc_ja_phil_139_1r.tif; doc_ja_phil_139_1v.tif
ref3931,cid4638133,Photographic images,Cartes-de-visite,"Levy, Phoebe Yates Pember. Boston, MA, This is an unlisted carte-de-visite of Phoebe Yates Pember Levy (1823-1913). She was the daughter of Jacob Clauvius Cohen in Charleston, South Carolina and was considered one of the heroines of the Confederacy. She was a matron of Chimborazo Hospital in besieged Richmond and went on to write ""A Southern Woman's Story,"" published in 1879","This is an unlisted carte-de-visite of Phoebe Yates Pember Levy (1823-1913). She was the daughter of Jacob Clauvius Cohen in Charleston, South Carolina and was considered one of the heroines of the Confederacy. She was a matron of Chimborazo Hospital in besieged Richmond and went on to write ""A Southern Woman's Story,"" published in 1879","Levy, Phoebe Yates Pember",,,"Boston, MA",1861,Drawer,Mixed materials,Judaica Americana,Folder,VA 657,doc_ja_va_657_1r.tif; doc_ja_va_657_1v.tif
ref3932,cid4638132,Photographic images,Cartes-de-visite,"Levy. Pueblo, CO, Carte-de-visite of a young man with a handle bar moustache and a woman, inscribed ""Levy, Pueblo, Colorado.""","Carte-de-visite of a young man with a handle bar moustache and a woman, inscribed ""Levy, Pueblo, Colorado.""",Levy,,,"Pueblo, CO",1890,Drawer,Mixed materials,Judaica Americana,Folder,CO 21,doc_ja_co_21_1r.tif; doc_ja_co_21_1v.tif
ref3933,cid4638131,Photographic images,Cartes-de-visite,"Liebman, Blanche H. Philadelphia, PA, Carte-de-visite of Blanche H. Liebman by Schreiber and Son",Carte-de-visite of Blanche H. Liebman by Schreiber and Son,"Liebman, Blanche H.",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,5,lbr_fq_s5_1r.tif; lbr_fq_s5_1v.tif
ref3934,cid4638130,Photographic images,Cartes-de-visite,"Liebman, Jacob. Philadelphia, PA, Carte-de-visite of Jacob Liebman, father of L. Liebman","Carte-de-visite of Jacob Liebman, father of L. Liebman","Liebman, Jacob",,,"Philadelphia, PA",1860,Folder,Mixed materials,Binder Q,Page,6,lbr_fq_s6_4r.tif; lbr_fq_s6_4v.tif
ref3935,cid4638129,Photographic images,Cartes-de-visite,"Liebman, Marie Bechtel. Philadelphia, PA",,"Liebman, Marie Bechtel",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,6,lbr_fq_s6_3r.tif; lbr_fq_s6_3v.tif
ref3936,cid4638128,Photographic images,Cartes-de-visite,"Liebman, Marie Bechtel. Philadelphia, PA, Carte-de-visite of Marie B. Liebman, daughter of Harriette Beyoung, by Broadbent","Carte-de-visite of Marie B. Liebman, daughter of Harriette Beyoung, by Broadbent","Liebman, Marie Bechtel",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,4,lbr_fq_s4_7r.tif; lbr_fq_s4_7v.tif
ref3937,cid4638127,Photographic images,Cartes-de-visite,"Liebman, Marie Bechtel. Philadelphia, PA, Carte-de-visite of Marie B. Liebman, daughter of Harriette Beyoung, by F. Gutekunst","Carte-de-visite of Marie B. Liebman, daughter of Harriette Beyoung, by F. Gutekunst","Liebman, Marie Bechtel",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,4,lbr_fq_s4_6r.tif; lbr_fq_s4_6v.tif
ref3938,cid4638126,Photographic images,Cartes-de-visite,"Liebman, Marie Bechtel. Philadelphia, PA, Carte-de-visite of Marie B. Liebman, mother of L. Liebman, by Wenderoth and Taylor","Carte-de-visite of Marie B. Liebman, mother of L. Liebman, by Wenderoth and Taylor","Liebman, Marie Bechtel",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,4,lbr_fq_s4_4r.tif; lbr_fq_s4_4v.tif
ref3939,cid4638125,Photographic images,Cartes-de-visite,"Liebman, Marie Bechtel. Philadelphia, PA, Carte-de-visite of Marie B. Liebman, mother of L. Liebman, by Wenderoth and Taylor","Carte-de-visite of Marie B. Liebman, mother of L. Liebman, by Wenderoth and Taylor","Liebman, Marie Bechtel",,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,4,lbr_fq_s4_5r.tif; lbr_fq_s4_5v.tif
ref3940,cid4638124,Photographic images,Cartes-de-visite,"Liebman. Philadelphia, PA, Carte-de-visite of Liebman by F. Gutekunst",Carte-de-visite of Liebman by F. Gutekunst,Liebman,,,"Philadelphia, PA",1875,Folder,Mixed materials,Binder Q,Page,4,lbr_fq_s4_2r.tif; lbr_fq_s4_2v.tif
ref3941,cid4638123,Photographic images,Cartes-de-visite,"Loeb, John F. Philadelphia, PA",,"Loeb, John F.",,,"Philadelphia, PA",undated,Folder,Mixed materials,Binder Q,Page,2,lbr_fq_s2_3r.tif; lbr_fq_s2_3v.tif
ref3942,cid4638122,Photographic images,Cartes-de-visite,"Mendelssohn, Felix.",,"Mendelssohn, Felix",,,,undated,Drawer,Mixed materials,Montefiore,Folder,23,doc_mnt_23_1r.tif; doc_mnt_23_1v.tif
ref3943,cid4638121,Photographic images,Cartes-de-visite,"Mendelssohn, Felix. United States, Carte-de-visite of Felix Mendelssohn for the series ""Portraits of musical celebrities,"" published by G. D. Russell","Carte-de-visite of Felix Mendelssohn for the series ""Portraits of musical celebrities,"" published by G. D. Russell","Mendelssohn, Felix",,,United States,1875,Drawer,Mixed materials,International,Folder,22,doc_in_22_1r.tif; doc_in_22_1v.tif
ref3944,cid4638120,Photographic images,Cartes-de-visite,"Menken, Adah Issacs. United States, 1862 carte-de-visite of Asa Isaacs Menken as the French spy, issued and sold by Chas. Fredricks and Co., New York","1862 carte-de-visite of Asa Isaacs Menken as the French spy, issued and sold by Chas. Fredricks and Co., New York","Menken, Adah Issacs",,,United States,1862,Drawer,Mixed materials,Judaica Americana,Folder,PHIL 171,doc_ja_phil_171_1r.tif; doc_ja_phil_171_1v.tif
ref3945,cid4638119,Photographic images,Cartes-de-visite,"Menken, Adah Issacs. United States, Carte-de-visite of Ada Isaacs Menken as Mazeppa, by Chas. D. Fredricks","Carte-de-visite of Ada Isaacs Menken as Mazeppa, by Chas. D. Fredricks","Menken, Adah Issacs",,,United States,1863,Drawer,Mixed materials,Judaica Americana,Folder,NYC 940,doc_ja_nyc_940_1r.tif; doc_ja_nyc_940_1v.tif
ref3946,cid4638118,Photographic images,Cartes-de-visite,"Moore, Yetta. New York, NY, Carte-de-visite of a child with a full ad on the back for Aschoff and Frick",Carte-de-visite of a child with a full ad on the back for Aschoff and Frick,"Moore, Yetta",,,"New York, NY",1875,Folder,Mixed materials,Binder Q,Page,1,lbr_fq_s1_1r.tif; lbr_fq_s1_1v.tif
ref3947,cid4638117,Photographic images,Cartes-de-visite,"Nones, Henry Benjamin. Albany, NY, Carte-de-visite of Captain Henry Benjamin Nones, commander of the cutter ""forward"" in both the Mexican and Civil War, in full standing view holding a hat in Navy Captain's uniform","Carte-de-visite of Captain Henry Benjamin Nones, commander of the cutter ""forward"" in both the Mexican and Civil War, in full standing view holding a hat in Navy Captain's uniform","Nones, Henry Benjamin",,,"Albany, NY",1860,Drawer,Mixed materials,Civil War,Folder,57,doc_cw_57_1r.tif; doc_cw_57_1v.tif
ref3948,cid4638116,Photographic images,Cartes-de-visite,"Oltzn, Solomon. New York, NY, Civil War era carte-de-visite with engraving of Mrs. Lincoln and an inscription to Josephine Oltz from her cousin Solomon Oltz. Solomon Oltz served with Company C of the 97th New York Infantry in the Civil War and was killed in June 1864",Civil War era carte-de-visite with engraving of Mrs. Lincoln and an inscription to Josephine Oltz from her cousin Solomon Oltz. Solomon Oltz served with Company C of the 97th New York Infantry in the Civil War and was killed in June 1864,"Oltzn, Solomon",,,"New York, NY",1864,Drawer,Mixed materials,Civil War,Folder,59,doc_cw_59_1r.tif; doc_cw_59_1v.tif
